,Domain,Verdict,Entropy,Vowel,Consonant,Length,VN,VowelConsRatio,EntropyLength,CountNum,ngram2ScoreLegit,ngram3ScoreLegit,ngram4ScoreLegit,ngram5ScoreLegit,ngramTotalScoreLegit,ngram2ScoreDGA,ngram3ScoreDGA,ngram4ScoreDGA,ngram5ScoreDGA,ngramTotalScoreDGA
4824,truyentranhgay.com,legit,3.09307,4,10,14,0,0.4,0.22093,0,3,1,0,0,4,3,2,0,0,5
3828,yakoqecuogmyyeum.org,dga,3.20282,7,9,16,1,0.77778,0.20018,0,0,0,0,0,0,1,0,0,0,1
2363,cymgclv.yi.org,dga,2.92193,1,8,10,1,0.125,0.29219,0,0,0,0,0,0,0,0,0,0,0
2052,gostudy.mobi,legit,2.80735,2,5,7,0,0.4,0.40105,0,1,0,0,0,1,1,0,0,0,1
2244,drumsonsale.com,legit,3.27761,4,7,11,0,0.57143,0.29796,0,2,0,0,0,2,3,0,0,0,3
272,googleblog.blogspot.com,legit,2.86032,6,12,19,0,0.5,0.15054,0,3,4,3,2,12,1,0,0,0,1
2466,obywahdvadxspppy.eu,dga,3.32782,3,13,16,1,0.23077,0.20799,0,2,0,0,0,2,0,0,0,0,0
609,dev.to,legit,1.58496,1,2,3,0,0.5,0.52832,0,0,0,0,0,0,1,0,0,0,1
3846,noroopaint.com,legit,2.64644,5,5,10,0,1.0,0.26464,0,4,0,0,0,4,2,0,0,0,2
4737,m03no2cvcvq2a4g.ddns.net,dga,3.82193,2,12,20,1,0.16667,0.1911,5,2,1,0,0,3,4,3,3,2,12
1807,drwp.de,legit,2.0,0,4,4,0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0
985,ssl.google-analytics.com,legit,3.54644,6,12,20,0,0.5,0.17732,0,4,5,4,3,16,4,0,0,0,4
3397,lgdfbbwymz.com,dga,3.12193,0,10,10,1,0.0,0.31219,0,0,0,0,0,0,0,0,0,0,0
1472,hrlxtwsvweznqjr.com,dga,3.64022,1,14,15,1,0.07143,0.24268,0,0,0,0,0,0,0,0,0,0,0
180,trends.google.com,legit,3.2389,4,8,13,0,0.5,0.24915,0,6,5,4,3,18,4,0,0,0,4
4381,gqcnklugaii.com,dga,3.0958,4,7,11,1,0.57143,0.28144,0,0,0,0,0,0,0,0,0,0,0
4878,betterhearing.org,legit,3.02699,5,8,13,0,0.625,0.23285,0,4,0,0,0,4,8,3,0,0,11
3548,aaaskawmskmwqqka.org,dga,2.47722,5,11,16,1,0.45455,0.15483,0,0,0,0,0,0,1,0,0,0,1
41,soundcloud.com,legit,2.72193,4,6,10,0,0.66667,0.27219,0,2,3,2,1,8,1,0,0,0,1
1769,boostseo.com,legit,2.15564,4,4,8,0,1.0,0.26946,0,3,0,0,0,3,2,0,0,0,2
384,ow.ly,legit,1.0,1,1,2,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0
4926,apqxlqvvjvwelkgpd.com,dga,3.45482,2,15,17,1,0.13333,0.20322,0,1,0,0,0,1,1,0,0,0,1
2189,i0u428ywqs6k.net,dga,3.58496,2,5,12,1,0.4,0.29875,5,0,0,0,0,0,0,0,0,0,0
3443,nmeakflbnabflddm.com,dga,3.125,3,13,16,1,0.23077,0.19531,0,1,0,0,0,1,2,0,0,0,2
1231,tinper.org,legit,2.58496,2,4,6,0,0.5,0.43083,0,3,0,0,0,3,3,0,0,0,3
2934,marivom.su,dga,2.52164,3,4,7,1,0.75,0.36023,0,1,0,0,0,1,4,0,0,0,4
1881,mrep5vob7tw8sdwtcvi.ddns.net,dga,4.05351,3,17,24,1,0.17647,0.1689,3,3,1,0,0,4,5,4,3,2,14
2977,konyamodifiyecenter.net,legit,3.57662,8,11,19,0,0.72727,0.18824,0,7,1,0,0,8,7,2,0,0,9
34,medium.com,legit,2.25163,3,3,6,0,1.0,0.37527,0,1,0,0,0,1,1,0,0,0,1
607,aljazeera.com,legit,2.41938,5,4,9,0,1.25,0.26882,0,2,0,0,0,2,2,0,0,0,2
2482,mi-piace-cucinare.it,legit,3.17512,8,7,17,0,1.14286,0.18677,0,5,0,0,0,5,6,0,0,0,6
1430,mmbreakingnews.com,legit,3.37878,4,10,14,0,0.4,0.24134,0,3,0,0,0,3,4,1,0,0,5
1673,onaaktdtgokbhagq.eu,dga,3.20282,5,11,16,1,0.45455,0.20018,0,1,0,0,0,1,1,0,0,0,1
353,makeuseof.com,legit,2.9477,5,4,9,0,1.25,0.32752,0,4,0,0,0,4,2,0,0,0,2
30,vk.com,legit,1.0,0,2,2,0,0.0,0.5,0,0,0,0,0,0,0,0,0,0,0
3596,semaedi.com.br,legit,3.0958,5,5,11,0,1.0,0.28144,0,5,2,1,0,8,6,2,1,0,9
4247,juegosfriv100com.com,legit,3.75,5,8,16,0,0.625,0.23438,3,1,1,0,0,2,3,1,0,0,4
2437,nirullo.com,dga,2.52164,3,4,7,1,0.75,0.36023,0,1,0,0,0,1,1,0,0,0,1
2716,mmtxeubvokmq.biz,dga,3.18872,3,9,12,1,0.33333,0.26573,0,0,0,0,0,0,0,0,0,0,0
490,m.me,legit,0.0,0,1,1,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0
4212,esdatawn.com,dga,2.75,3,5,8,1,0.6,0.34375,0,3,0,0,0,3,3,0,0,0,3
181,opera.com,legit,2.32193,3,2,5,0,1.5,0.46439,0,2,0,0,0,2,2,0,0,0,2
3646,unitek-it.com,legit,2.72548,4,4,9,0,1.0,0.30283,0,1,0,0,0,1,3,0,0,0,3
3125,18gbodil7h3hwty.ddns.net,dga,3.98418,2,13,20,1,0.15385,0.19921,4,2,1,0,0,3,4,3,2,2,11
2607,gezvrcn.ir,dga,2.80735,1,6,7,1,0.16667,0.40105,0,1,0,0,0,1,1,0,0,0,1
4574,iralohduicico.ddns.net,dga,3.41938,7,10,18,1,0.7,0.18997,0,6,1,0,0,7,7,4,3,2,16
419,pl.wikipedia.org,legit,3.02206,5,6,12,0,0.83333,0.25184,0,2,0,0,0,2,1,0,0,0,1
3094,ceuqausaimcqwkma.org,dga,3.20282,7,9,16,1,0.77778,0.20018,0,3,0,0,0,3,2,0,0,0,2
1484,propotestatemepis.com,dga,3.01307,7,10,17,1,0.7,0.17724,0,8,1,0,0,9,7,3,0,0,10
4691,cloud7.com.cn,legit,2.92193,3,5,10,0,0.6,0.29219,1,4,5,3,1,13,2,2,1,0,5
2792,frostscience.org,legit,3.08496,4,8,12,0,0.5,0.25708,0,4,1,0,0,5,3,1,1,0,5
904,1.usa.gov,legit,2.32193,2,1,5,0,2.0,0.46439,1,1,0,0,0,1,0,0,0,0,0
2615,jusjqsqqxv.com,dga,2.44644,1,9,10,1,0.11111,0.24464,0,1,0,0,0,1,0,0,0,0,0
1049,mrinlnpnpvmvfqo.com,dga,3.1899,2,13,15,1,0.15385,0.21266,0,1,0,0,0,1,2,1,0,0,3
3881,zixw.am,dga,2.0,1,3,4,1,0.33333,0.5,0,0,0,0,0,0,0,0,0,0,0
2627,xzlcmr.lv,dga,2.58496,0,6,6,1,0.0,0.43083,0,0,0,0,0,0,0,0,0,0,0
2166,yywxtqkqtltsimlv.eu,dga,3.32782,1,15,16,1,0.06667,0.20799,0,0,0,0,0,0,1,0,0,0,1
2253,americanaddictioncenters.org,legit,3.34436,10,14,24,0,0.71429,0.13935,0,10,1,0,0,11,12,7,1,1,21
55,dropbox.com,legit,2.52164,2,5,7,0,0.4,0.36023,0,1,0,0,0,1,0,0,0,0,0
2028,bikehotels.travel,legit,3.12193,4,6,10,0,0.66667,0.31219,0,1,0,0,0,1,2,0,0,0,2
61,theatlantic.com,legit,2.84535,4,7,11,0,0.57143,0.25867,0,5,0,0,0,5,6,0,0,0,6
1584,aprelevkas.ru,legit,2.92193,4,6,10,0,0.66667,0.29219,0,4,0,0,0,4,4,0,0,0,4
3496,deenortoncenter.org,legit,2.65656,6,9,15,0,0.66667,0.1771,0,6,1,0,0,7,7,3,0,0,10
3695,tracker-medieval.it,dga,3.45282,6,9,16,1,0.66667,0.2158,0,3,0,0,0,3,4,1,0,0,5
2190,gva0u8ipqbu43de850utshw.ddns.net,dga,4.25343,6,14,28,1,0.42857,0.15191,7,2,1,0,0,3,5,3,3,2,13
1568,rildugto.ru,dga,3.0,3,5,8,1,0.6,0.375,0,0,0,0,0,0,1,0,0,0,1
465,eventbrite.co.uk,legit,3.18083,5,7,13,0,0.71429,0.24468,0,6,2,0,0,8,6,2,0,0,8
1812,ergo.de,legit,2.0,2,2,4,0,1.0,0.5,0,1,0,0,0,1,1,0,0,0,1
4713,cinemaguys.com,legit,3.32193,4,6,10,0,0.66667,0.33219,0,2,0,0,0,2,4,1,0,0,5
1490,crimsonfeatheredraven.tumblr.com,legit,3.95021,9,18,28,0,0.5,0.14108,0,10,0,0,0,10,10,2,1,1,14
548,lulu.com,legit,1.0,2,2,4,0,1.0,0.25,0,0,0,0,0,0,0,0,0,0,0
4854,pelican-style.ru,legit,3.39275,4,8,13,0,0.5,0.26098,0,4,0,0,0,4,6,0,0,0,6
4179,click-plus.net,legit,2.92193,2,7,10,0,0.28571,0.29219,0,4,0,0,0,4,1,0,0,0,1
3317,hitnotifier.com,legit,2.84535,5,6,11,0,0.83333,0.25867,0,2,0,0,0,2,3,0,0,0,3
3134,24onlinerecharge.com,legit,3.45282,6,8,16,0,0.75,0.2158,2,6,0,0,0,6,8,3,1,0,12
1591,mdfyhhcevwew.net,dga,3.08496,2,10,12,1,0.2,0.25708,0,1,0,0,0,1,1,0,0,0,1
4283,santamariatimes.com,legit,2.84022,7,8,15,0,0.875,0.18935,0,7,1,0,0,8,9,1,0,0,10
1416,waveinvitequotelipwaterdisappointed.com,dga,3.67988,16,19,35,1,0.84211,0.10514,0,9,1,0,0,10,9,2,1,0,12
3208,unwahas.com,dga,2.52164,3,4,7,1,0.75,0.36023,0,0,0,0,0,0,1,0,0,0,1
4294,our-microsoft.com,legit,3.18083,5,7,13,0,0.71429,0.24468,0,6,7,6,5,24,2,0,0,0,2
1146,smokegrillbbq.com,legit,3.39275,3,10,13,0,0.3,0.26098,0,0,0,0,0,0,1,0,0,0,1
4036,facitindlocintroitum.com,dga,3.38418,8,12,20,1,0.66667,0.16921,0,5,0,0,0,5,5,0,0,0,5
3747,thenetwork.lu,legit,2.92193,3,7,10,0,0.42857,0.29219,0,1,0,0,0,1,4,0,0,0,4
116,wa.me,legit,1.0,1,1,2,0,1.0,0.5,0,0,0,0,0,0,0,0,0,0,0
3290,renesola.com,legit,2.75,4,4,8,0,1.0,0.34375,0,3,0,0,0,3,5,0,0,0,5
1488,gehisdofaw.com,dga,3.32193,4,6,10,1,0.66667,0.33219,0,2,0,0,0,2,2,0,0,0,2
1805,mafjuphu.ru,dga,2.75,3,5,8,1,0.6,0.34375,0,1,0,0,0,1,1,0,0,0,1
2591,eckerd.org,legit,2.25163,2,4,6,0,0.5,0.37527,0,1,0,0,0,1,2,0,0,0,2
4535,hoyfrases.com,legit,2.9477,3,6,9,0,0.5,0.32752,0,3,0,0,0,3,4,0,0,0,4
3571,q67re8idupudgbmps0kxe2k.ddns.net,dga,4.1645,5,17,28,1,0.29412,0.14873,5,3,1,0,0,4,5,3,2,2,12
4791,geoilandgas.com,legit,3.0958,5,6,11,0,0.83333,0.28144,0,1,0,0,0,1,5,1,0,0,6
1287,jees-jlpt.jp,legit,2.72548,2,6,9,0,0.33333,0.30283,0,1,0,0,0,1,1,0,0,0,1
3163,susuntargutisopus.com,dga,3.02864,7,10,17,1,0.7,0.17816,0,4,0,0,0,4,5,0,0,0,5
492,francetvinfo.fr,legit,3.25163,4,8,12,0,0.5,0.27097,0,3,0,0,0,3,5,1,1,0,7
2718,diabetes-book.com,legit,3.2389,6,6,13,0,1.0,0.24915,0,3,0,0,0,3,4,0,0,0,4
2391,xeogisan.ru,dga,3.0,4,4,8,1,1.0,0.375,0,0,0,0,0,0,2,0,0,0,2
4071,78ubkx7dat5ju6elwle.ddns.net,dga,4.05351,5,13,24,1,0.38462,0.1689,5,5,1,0,0,6,7,4,3,2,16
