,Domain,Verdict,Entropy,Vowel,Consonant,Length,VN,VowelConsRatio,EntropyLength,CountNum,ngram2ScoreLegit,ngram3ScoreLegit,ngram4ScoreLegit,ngram5ScoreLegit,ngramTotalScoreLegit,ngram2ScoreDGA,ngram3ScoreDGA,ngram4ScoreDGA,ngram5ScoreDGA,ngramTotalScoreDGA
4499,kwtmotor.com,legit,2.85539,3,8,12,0,0.375,0.23795,0,0,0,0,0,0,1,0,0,0,1
4110,solomonsonline.co.za,legit,3.2037,8,10,20,0,0.8,0.16018,0,7,1,0,0,8,6,2,0,0,8
692,sizegardensolveslightreward.com,dga,4.00227,10,20,31,1,0.5,0.12911,0,4,0,0,0,4,8,0,0,0,8
4407,gwyeelr.cx,dga,3.12193,2,7,10,1,0.28571,0.31219,0,0,0,0,0,0,1,0,0,0,1
2122,twbagglvhmvhcegda.cc,dga,3.54644,3,16,20,1,0.1875,0.17732,0,1,0,0,0,1,1,0,0,0,1
4641,avlind.ir,legit,2.9477,3,5,9,0,0.6,0.32752,0,2,0,0,0,2,2,0,0,0,2
209,fundase.rn.gov.br,legit,3.57247,4,10,17,0,0.4,0.21015,0,2,1,0,0,3,3,0,0,0,3
3087,clarkcountycourts.us,legit,3.44644,6,13,20,0,0.46154,0.17232,0,3,0,0,0,3,3,0,0,0,3
1623,tarifbestellen.de,legit,3.38158,6,10,17,0,0.6,0.19892,0,6,0,0,0,6,10,1,0,0,11
161,cqxxrvblvuhtkfeq.eu,dga,3.72161,4,14,19,1,0.28571,0.19587,0,0,0,0,0,0,0,0,0,0,0
494,gaporderavoidbikedetailair.com,dga,3.73957,14,15,30,1,0.93333,0.12465,0,5,0,0,0,5,8,0,0,0,8
3204,rainsoft.io,legit,3.0958,5,5,11,0,1.0,0.28144,0,3,2,1,0,6,3,0,0,0,3
4587,hahudis.info,dga,3.25163,5,6,12,1,0.83333,0.27097,0,0,0,0,0,0,1,0,0,0,1
1534,loteria.com.ec,legit,3.23593,6,6,14,0,1.0,0.23114,0,5,2,1,0,8,5,4,1,0,10
644,eofngtdyuhkrlcwj.eu,dga,4.0374,5,13,19,1,0.38462,0.21249,0,1,0,0,0,1,0,0,0,0,0
6,semvwhrevrrdcgay.eu,dga,3.64215,5,13,19,1,0.38462,0.19169,0,2,0,0,0,2,3,0,0,0,3
3433,fsxsskmykapjeaupk.cc,dga,3.54644,4,15,20,1,0.26667,0.17732,0,2,0,0,0,2,1,0,0,0,1
2020,tesy.com,legit,3.0,2,5,8,0,0.4,0.375,0,2,0,0,0,2,2,0,0,0,2
661,nowadaysrecordsshop.bigcartel.com,legit,4.0438,10,21,33,0,0.47619,0.12254,0,6,0,0,0,6,8,0,0,0,8
4531,gizmo.com.pk,legit,3.08496,3,7,12,0,0.42857,0.25708,0,2,2,1,0,5,2,2,1,0,5
